                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.0239,                  1.021,                 1.4236,                0.71484,                0.54465,                0.66409,                0.36814,                 1.5251,                 2.0955,                 2.2563,             0.00028176,             0.00028176,             0.00028176
                     34,                0.96532,                 0.9771,                 1.3987,                0.74601,                 0.5722,                0.75721,                0.38819,                 1.5007,                 1.9047,                 2.4112,             0.00026654,             0.00026654,             0.00026654
                     35,                0.97278,                0.93555,                 1.4142,                0.86829,                0.75798,                0.84653,                0.46793,                 1.4202,                 1.5549,                 2.2071,             0.00025131,             0.00025131,             0.00025131
                     36,                0.97356,                0.92397,                 1.4111,                 0.8757,                0.66675,                0.78163,                0.43575,                 1.4894,                  1.818,                 2.2942,             0.00023608,             0.00023608,             0.00023608
                     37,                0.94414,                0.91411,                 1.3727,                0.69933,                0.63793,                0.74419,                0.40344,                 1.5001,                 1.9978,                 2.3355,             0.00022086,             0.00022086,             0.00022086
                     38,                0.96028,                 0.9498,                 1.3821,                0.57685,                0.58365,                0.67267,                0.30695,                 1.7085,                  2.215,                 2.5313,             0.00020563,             0.00020563,             0.00020563
                     39,                0.93387,                0.93268,                   1.38,                0.70701,                0.47198,                0.65117,                0.36793,                 1.5257,                 2.2941,                 2.3667,              0.0001904,              0.0001904,              0.0001904
                     40,                 1.0269,                 1.2228,                 1.6138,                0.69232,                0.47999,                0.62776,                0.32646,                 1.7397,                 2.9897,                 2.9743,             0.00017518,             0.00017518,             0.00017518
                     41,                0.92493,                0.96118,                 1.5614,                0.74658,                0.56642,                  0.618,                0.33633,                 1.6618,                 2.5993,                  2.553,             0.00015995,             0.00015995,             0.00015995
                     42,                0.88736,                0.88503,                 1.4931,                0.76091,                0.46816,                0.58388,                0.33851,                 1.5902,                  2.764,                  2.601,             0.00014473,             0.00014473,             0.00014473
                     43,                 0.8738,                0.89392,                 1.4777,                0.85675,                0.54031,                0.64474,                0.38137,                 1.6134,                 2.4493,                 2.4969,              0.0001295,              0.0001295,              0.0001295
                     44,                0.82058,                0.82962,                 1.4309,                0.75864,                0.67241,                0.76323,                0.41446,                 1.5528,                 1.9447,                 2.4715,             0.00011427,             0.00011427,             0.00011427
                     45,                0.79314,                0.79882,                  1.402,                0.80059,                0.54668,                0.72114,                0.35725,                 1.7055,                  2.088,                 2.6207,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     46,                0.79753,                0.78242,                  1.429,                0.82452,                0.56584,                0.72573,                0.39267,                  1.619,                 2.2122,                 2.5346,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     47,                 0.7968,                0.80327,                 1.4055,                0.77831,                0.60109,                0.71794,                0.39953,                 1.6301,                 2.1241,                 2.4959,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     48,                0.76718,                0.77075,                 1.3882,                0.85017,                0.61526,                0.76657,                0.43347,                 1.5741,                   2.08,                  2.428,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     49,                0.79215,                0.76408,                 1.3997,                0.86604,                0.62166,                0.75558,                0.41374,                 1.6529,                 2.0824,                 2.4818,             3.8142e-05,             3.8142e-05,             3.8142e-05
