                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.7947,                 2.1244,                 1.7094,                0.40072,                 0.1893,                0.08919,                0.03442,                 2.3347,                 2.9936,                 2.2267,             0.00030521,             0.00030521,             0.00030521
                     34,                 1.8246,                 2.1827,                 1.7416,                0.28419,                 0.1511,                 0.1152,                0.04877,                  2.391,                 3.0072,                  2.282,             0.00028872,             0.00028872,             0.00028872
                     35,                 1.7845,                 2.1109,                 1.7246,                0.10958,                0.20212,                0.11605,                0.04056,                 2.3388,                 2.8927,                 2.2075,             0.00027222,             0.00027222,             0.00027222
                     36,                 1.7324,                 2.0507,                 1.6818,                0.12738,                 0.2224,                0.11786,                0.04228,                  2.385,                 2.8788,                 2.2049,             0.00025573,             0.00025573,             0.00025573
                     37,                 1.7291,                 2.0274,                 1.6595,                0.14984,                0.25131,                0.12738,                0.04254,                 2.3547,                 2.8466,                  2.174,             0.00023924,             0.00023924,             0.00023924
                     38,                 1.7466,                 2.0604,                 1.6629,                0.14732,                0.24599,                0.14899,                0.04887,                 2.3215,                 2.8008,                  2.143,             0.00022274,             0.00022274,             0.00022274
                     39,                   1.74,                 2.0383,                 1.6594,                0.16168,                 0.2067,                 0.1482,                0.05131,                 2.2878,                 2.8098,                 2.1401,             0.00020625,             0.00020625,             0.00020625
                     40,                 1.9243,                 2.4506,                 1.8062,                 0.1711,                0.25471,                0.15477,                0.05641,                 2.2697,                 2.8129,                 2.1418,             0.00018976,             0.00018976,             0.00018976
                     41,                 1.8696,                 2.3115,                 1.7807,                0.31891,                0.14194,                0.16299,                0.05669,                 2.2916,                 2.9103,                 2.1871,             0.00017326,             0.00017326,             0.00017326
                     42,                 1.8289,                 2.2569,                 1.7484,                0.30563,                0.15252,                0.13684,                0.04563,                 2.3398,                 2.9875,                  2.249,             0.00015677,             0.00015677,             0.00015677
                     43,                 1.8263,                 2.2375,                 1.7636,                0.29823,                0.15372,                0.13151,                0.04414,                 2.3539,                 2.9063,                 2.2847,             0.00014028,             0.00014028,             0.00014028
                     44,                 1.7481,                 2.2293,                 1.7134,                0.13047,                0.19553,                0.13016,                0.04274,                 2.3264,                 2.8691,                 2.2865,             0.00012378,             0.00012378,             0.00012378
                     45,                 1.7225,                 2.1295,                 1.7174,                0.13046,                 0.1825,                0.11846,                0.04073,                 2.3186,                  2.822,                 2.2689,             0.00010729,             0.00010729,             0.00010729
                     46,                 1.7344,                 2.1565,                  1.707,                0.12712,                0.19425,                0.11831,                0.04012,                 2.2824,                  2.837,                 2.2292,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     47,                 1.7024,                 2.1415,                 1.7183,                0.13642,                0.21786,                0.12839,                0.04125,                 2.2764,                 2.8666,                 2.1856,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     48,                 1.7104,                 2.1216,                 1.6998,                0.12825,                0.22015,                 0.1275,                0.04158,                  2.276,                 2.8342,                 2.1709,              5.781e-05,              5.781e-05,              5.781e-05
                     49,                 1.6829,                 2.0616,                 1.6827,                0.13757,                0.23022,                0.13806,                0.04634,                 2.2529,                 2.8619,                 2.1658,             4.1317e-05,             4.1317e-05,             4.1317e-05
