                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.93383,                0.78494,                 1.0165,                0.76394,                0.68454,                0.73254,                0.46417,                 1.1393,                 1.0268,                 1.1687,             0.00043325,             0.00043325,             0.00043325
                     35,                0.92906,                0.76997,                 1.0197,                0.66238,                0.69342,                0.71765,                0.46259,                 1.1577,                 1.0655,                 1.1683,              0.0004085,              0.0004085,              0.0004085
                     36,                0.90968,                0.74753,                 1.0123,                 0.7834,                0.62734,                0.70257,                0.44997,                 1.1829,                 1.0606,                 1.1551,             0.00038375,             0.00038375,             0.00038375
                     37,                0.89102,                0.75036,                0.99434,                0.80302,                0.73148,                0.75326,                 0.4957,                 1.1637,                 1.0376,                 1.1479,               0.000359,               0.000359,               0.000359
                     38,                0.89732,                0.73351,                 0.9978,                0.77643,                0.67593,                0.69212,                0.45306,                 1.1783,                 1.0561,                 1.2234,             0.00033425,             0.00033425,             0.00033425
                     39,                0.89776,                0.74615,                 1.0019,                 0.7078,                0.73148,                0.74758,                0.49039,                 1.1814,                 1.0064,                  1.197,              0.0003095,              0.0003095,              0.0003095
                     40,                0.89024,                 1.2338,                 1.0202,                0.66116,                0.65741,                0.64803,                0.40322,                 1.1687,                 1.1331,                 1.1928,             0.00028475,             0.00028475,             0.00028475
                     41,                0.89344,                0.96234,                 1.0263,                0.69819,                0.65422,                0.67641,                0.40973,                 1.1433,                 1.2106,                 1.1237,                0.00026,                0.00026,                0.00026
                     42,                0.88647,                0.96895,                 1.0289,                0.64389,                0.75309,                0.71857,                0.42817,                 1.1889,                 1.0954,                 1.1361,             0.00023525,             0.00023525,             0.00023525
                     43,                0.86557,                0.84516,                 1.0172,                0.71226,                0.74869,                0.71634,                0.44315,                 1.1643,                  1.001,                 1.1435,              0.0002105,              0.0002105,              0.0002105
                     44,                0.84532,                 0.8384,                 0.9849,                0.60591,                0.71296,                0.67782,                  0.448,                  1.111,                 0.9712,                 1.1188,             0.00018575,             0.00018575,             0.00018575
                     45,                0.85706,                0.81078,                 1.0075,                0.72491,                0.70481,                0.73718,                0.47275,                 1.1133,                 1.0087,                 1.1091,               0.000161,               0.000161,               0.000161
                     46,                0.81643,                0.76999,                0.99592,                0.64441,                 0.7368,                0.71002,                0.45996,                 1.0817,                0.99778,                 1.1101,             0.00013625,             0.00013625,             0.00013625
                     47,                0.81179,                0.78099,                0.99412,                0.64686,                0.77182,                0.71145,                0.47597,                 1.1054,                 1.0065,                 1.1242,              0.0001115,              0.0001115,              0.0001115
                     48,                0.82729,                0.76083,                0.97744,                0.67318,                0.68735,                 0.7073,                0.47108,                 1.0954,                0.99198,                 1.1195,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.79797,                0.72336,                0.97757,                0.69922,                0.69514,                0.70628,                0.48158,                 1.0917,                0.98953,                 1.1088,                6.2e-05,                6.2e-05,                6.2e-05
